0.0	TITLE Reckn
4.6	CARD the door
9.2	00 opinion vs re-execution
21.3	SLIDE 02 the claim, and the offer
42.6	SLIDE 08 the boundary
48.5	17 SVG: out to Arc, scope held
55.8	SLIDE 03 check 1
68.7	01 fund
76.2	01 BindingMismatch
90.4	02 evidence: release
97.5	02 evidence: refund
107.4	SLIDE 04 check 2
120.9	02 evidence: bytecode + no-keys
133.0	SLIDE 05 check 3
147.4	04 evidence: four settlements
156.9	SLIDE 06 why Arc
173.2	SLIDE 09 check 4 - what it does not prove
193.7	06 evidence: the two rows
201.7	SLIDE 11 check it yourself
223.4	CARD close
233.6	END
